Gene_name,String_protein_id
ADAMTS10,9606.ENSP00000471851
ADAMTS12,9606.ENSP00000422554
ADAMTS13,9606.ENSP00000360997
ADAMTS14,9606.ENSP00000362304
ADAMTS15,9606.ENSP00000299164
ADAMTS16,9606.ENSP00000274181
ADAMTS17,9606.ENSP00000268070
ADAMTS18,9606.ENSP00000282849
ADAMTS19,9606.ENSP00000274487
ADAMTS2,9606.ENSP00000251582
ADAMTS20,9606.ENSP00000374071
ADAMTS3,9606.ENSP00000286657
ADAMTS4,9606.ENSP00000356975
ADAMTS5,9606.ENSP00000284987
ADAMTS6,9606.ENSP00000370443
ADAMTS7,9606.ENSP00000373472
ADAMTS8,9606.ENSP00000257359
ADAMTS9,9606.ENSP00000418735
ADAMTSL1,9606.ENSP00000369921
ADAMTSL2,9606.ENSP00000346478
ADAMTSL3,9606.ENSP00000286744
ADAMTSL4,9606.ENSP00000358035
ADAMTSL5,9606.ENSP00000327608
ADAP1,9606.ENSP00000442682
ADAP2,9606.ENSP00000464121
ADAR,9606.ENSP00000357459
ADARB1,9606.ENSP00000353920
ADARB2,9606.ENSP00000370713
ADAT1,9606.ENSP00000310015
ADAT2,9606.ENSP00000237283
ADAT3,9606.ENSP00000332448
ADCK1,9606.ENSP00000238561
ADCK2,9606.ENSP00000072869
ADCK5,9606.ENSP00000310547
ADCY1,9606.ENSP00000297323
ADCY10,9606.ENSP00000356825
ADCY2,9606.ENSP00000342952
ADCY3,9606.ENSP00000384484
ADCY4,9606.ENSP00000312126
ADCY5,9606.ENSP00000419361
ADCY6,9606.ENSP00000311405
ADCY7,9606.ENSP00000501053
ADCY8,9606.ENSP00000286355
ADCY9,9606.ENSP00000294016
ADCYAP1,9606.ENSP00000462647
ADCYAP1R1,9606.ENSP00000483721
ADD1,9606.ENSP00000264758
ADD2,9606.ENSP00000264436
ADD3,9606.ENSP00000348381
ADGB,9606.ENSP00000381036
ADGRA1,9606.ENSP00000376384
ADGRA2,9606.ENSP00000406367
ADGRA3,9606.ENSP00000334952
ADGRB1,9606.ENSP00000430945
ADGRB2,9606.ENSP00000362759
ADGRB3,9606.ENSP00000359630
ADGRD1,9606.ENSP00000444425
ADGRD2,9606.ENSP00000335156
ADGRE1,9606.ENSP00000311545
ADGRE2,9606.ENSP00000319883
ADGRE3,9606.ENSP00000253673
ADGRE5,9606.ENSP00000242786
ADGRF1,9606.ENSP00000360299
ADGRF2,9606.ENSP00000296862
ADGRF3,9606.ENSP00000307831
ADGRF4,9606.ENSP00000283303
ADGRF5,9606.ENSP00000283296
ADGRG1,9606.ENSP00000455215
ADGRG2,9606.ENSP00000369198
ADGRG3,9606.ENSP00000332900
ADGRG4,9606.ENSP00000377699
ADGRG5,9606.ENSP00000342981
ADGRG6,9606.ENSP00000356581
ADGRG7,9606.ENSP00000273352
ADGRL1,9606.ENSP00000340688
ADGRL2,9606.ENSP00000359765
ADGRL3,9606.ENSP00000422533
ADGRL4,9606.ENSP00000359778
ADGRV1,9606.ENSP00000384582
ADH1A,9606.ENSP00000209668
ADH1B,9606.ENSP00000306606
ADH1C,9606.ENSP00000426083
ADH4,9606.ENSP00000424630
ADH5,9606.ENSP00000296412
ADH6,9606.ENSP00000378359
ADH7,9606.ENSP00000420269
ADHFE1,9606.ENSP00000379865
ADI1,9606.ENSP00000333666
ADIG,9606.ENSP00000440331
ADIPOQ,9606.ENSP00000389814
ADIPOR1,9606.ENSP00000341785
ADIPOR2,9606.ENSP00000349616
ADIRF,9606.ENSP00000361083
ADK,9606.ENSP00000443965
ADM,9606.ENSP00000436607
ADM2,9606.ENSP00000379087
ADM5,9606.ENSP00000393631
ADNP,9606.ENSP00000360662
ADNP2,9606.ENSP00000262198
ADO,9606.ENSP00000362888
ADORA1,9606.ENSP00000356205
ADORA2A,9606.ENSP00000480012
ADORA2B,9606.ENSP00000304501
ADORA3,9606.ENSP00000241356
ADPGK,9606.ENSP00000312250
ADPRH,9606.ENSP00000420200
ADPRHL1,9606.ENSP00000364567
ADPRHL2,9606.ENSP00000362273
ADPRM,9606.ENSP00000369099
ADRA1A,9606.ENSP00000369960
ADRA1B,9606.ENSP00000306662
ADRA1D,9606.ENSP00000368766
ADRA2A,9606.ENSP00000280155
ADRA2B,9606.ENSP00000480573
ADRA2C,9606.ENSP00000386069
ADRB1,9606.ENSP00000358301
ADRB2,9606.ENSP00000305372
ADRB3,9606.ENSP00000343782
ADRM1,9606.ENSP00000478877
ADSL,9606.ENSP00000485525
ADSS1,9606.ENSP00000333019
ADSS2,9606.ENSP00000355493
ADTRP,9606.ENSP00000229583
AEBP1,9606.ENSP00000223357
AEBP2,9606.ENSP00000381840
AEN,9606.ENSP00000331944
AFAP1,9606.ENSP00000410689
AFAP1L1,9606.ENSP00000296721
AFAP1L2,9606.ENSP00000303042
AFDN,9606.ENSP00000355771
AFF1,9606.ENSP00000378578
AFF2,9606.ENSP00000359489
AFF3,9606.ENSP00000386834
AFF4,9606.ENSP00000265343
AFG1L,9606.ENSP00000357973
AFG3L2,9606.ENSP00000269143
AFM,9606.ENSP00000226355
AFMID,9606.ENSP00000328938
AFP,9606.ENSP00000379138
AFTPH,9606.ENSP00000238855
AGA,9606.ENSP00000264595
AGAP1,9606.ENSP00000307634
AGAP2,9606.ENSP00000449241
AGAP3,9606.ENSP00000380413
AGAP4,9606.ENSP00000392513
AGAP5,9606.ENSP00000363207
AGAP6,9606.ENSP00000500374
AGAP9,9606.ENSP00000392206
AGBL1,9606.ENSP00000413001
AGBL2,9606.ENSP00000435582
AGBL3,9606.ENSP00000388275
AGBL4,9606.ENSP00000360905
AGBL5,9606.ENSP00000353249
AGER,9606.ENSP00000364210
