Gene_name,PB_id
ABP1,SMP0000494
ABP1,SMP0000498
ABP1,SMP0000533
ABR,SMP0100484
ABR,SMP0108210
ABR,SMP0120885
ABZ1,SMP0002334
ABZ2,SMP0002334
ACAA2,SMP0000054
ACAA2,SMP0000051
ACAA2,SMP0000032
ACAA2,SMP0000173
ACAA2,SMP0000137
ACAA2,SMP0000236
ACAA2,SMP0000138
ACAA2,SMP0000199
ACAA2,SMP0000237
ACAA2,SMP0000139
ACAA2,SMP0000140
ACAA2,SMP0000384
ACAA2,SMP0000200
ACAA2,SMP0000238
ACAA2,SMP0000181
ACAA2,SMP0000185
ACAA2,SMP0000235
ACAA2,SMP0000480
ACAA2,SMP0000481
ACAA2,SMP0000482
ACAA2,SMP0000141
ACAA2,SMP0000521
ACAA2,SMP0000522
ACAA2,SMP0000523
ACAA2,SMP0000524
ACAA2,SMP0000538
ACAA2,SMP0000539
ACAA2,SMP0000540
ACAA2,SMP0000541
ACAA2,SMP0000542
ACAA2,SMP0000544
ACAA2,SMP0000545
ACAA2,SMP0000568
Acaa2,SMP0063589
Acaa2,SMP0063612
ACAA2,SMP0087172
ACAA2,SMP0087194
ACAA2,SMP0087233
ACAA2,SMP0087234
ACAA2,SMP0087265
ACAA2,SMP0087266
ACAA2,SMP0087267
Acaa2,SMP0087280
Acaa2,SMP0087294
Acaa2,SMP0087327
Acaa2,SMP0087358
Acaa2,SMP0087359
Acaa2,SMP0087360
Acaa2,SMP0120476
Acaa2,SMP0120520
Acaa2,SMP0120603
Acaa2,SMP0120604
Acaa2,SMP0120605
Acaa2,SMP0120606
Acaa2,SMP0120607
Acaa2,SMP0120608
Acaa2,SMP0120609
Acaa2,SMP0120660
Acaa2,SMP0120661
Acaa2,SMP0120662
Acaa2,SMP0120663
Acaa2,SMP0120664
Acaa2,SMP0120665
Acaa2,SMP0120679
Acaa2,SMP0120696
Acaa2,SMP0120723
Acaa2,SMP0120736
Acaa2,SMP0120740
Acaa2,SMP0120743
Acaa2,SMP0120745
Acaa2,SMP0120757
Acaa2,SMP0120805
Acaa2,SMP0120806
Acaa2,SMP0120807
Acaa2,SMP0120808
Acaa2,SMP0120822
Acaa2,SMP0120823
Acaa2,SMP0120824
Acaa2,SMP0120825
Acaa2,SMP0120826
Acaa2,SMP0120827
Acaa2,SMP0120828
Acaa2,SMP0120851
ACACA,SMP0000060
ACACA,SMP0000196
ACACA,SMP0000334
ACACA,SMP0000212
ACACA,SMP0000016
ACACA,SMP0000456
ACACA,SMP0000198
ACACA,SMP0000201
ACACA,SMP0000502
ACACA,SMP0000558
ACACA,SMP0000559
Acaca,SMP0063613
Acaca,SMP0063656
Acaca,SMP0063661
ACACA,SMP0087231
ACACA,SMP0087248
ACACA,SMP0087257
Acaca,SMP0087325
Acaca,SMP0087341
Acaca,SMP0087350
ACACA,SMP0100046
Acaca,SMP0120506
Acaca,SMP0120514
Acaca,SMP0120528
Acaca,SMP0120531
Acaca,SMP0120533
Acaca,SMP0120567
Acaca,SMP0120622
Acaca,SMP0120623
Acaca,SMP0120726
Acaca,SMP0120734
Acaca,SMP0120748
Acaca,SMP0120751
Acaca,SMP0120753
Acaca,SMP0120786
Acaca,SMP0120841
Acaca,SMP0120842
Acaca,SMP0120922
ACACA,SMP0120946
Acaca,SMP0120970
Acacb,SMP0063586
Acacb,SMP0120504
Acacb,SMP0120535
Acacb,SMP0120543
ACAD8,SMP0000032
ACAD8,SMP0000173
ACAD8,SMP0000137
ACAD8,SMP0000236
ACAD8,SMP0000138
ACAD8,SMP0000199
ACAD8,SMP0000237
ACAD8,SMP0000139
ACAD8,SMP0000140
ACAD8,SMP0000384
ACAD8,SMP0000200
ACAD8,SMP0000238
ACAD8,SMP0000141
ACAD8,SMP0000521
ACAD8,SMP0000522
ACAD8,SMP0000523
ACAD8,SMP0000524
Acad8,SMP0063689
ACAD8,SMP0087234
Acad8,SMP0120439
Acad8,SMP0120440
